DATE,TG,RR,WS,HU,PP
2015-05-03,31.1,0.0,24.0,25,1006.2
2015-05-04,32.2,0.0,29.5,27,1005.1
2015-05-05,32.3,0.0,22.4,38,1006.0
2015-05-06,33.0,0.2,19.5,42,1005.5
2015-05-07,33.9,0.0,23.1,36,1005.5
2015-05-08,34.8,0.0,22.5,33,1004.9
2015-05-09,34.3,0.0,22.7,35,1004.0
2015-05-10,33.4,0.0,28.3,36,1006.0
2015-05-11,33.0,0.0,16.6,35,1007.4
2015-05-12,32.2,0.0,23.7,47,1007.4
2015-05-13,32.9,0.0,26.0,46,1006.2
2015-05-14,33.0,0.0,24.6,45,1006.1
2015-05-15,32.1,0.0,18.6,57,1007.0
2015-05-16,33.3,0.0,24.0,55,1004.5
2015-05-17,33.4,0.0,31.6,48,1003.6
2015-05-18,31.4,0.0,32.5,46,1004.8
2015-05-19,29.9,0.0,19.1,62,1004.7
2015-05-20,29.7,0.0,21.1,61,1005.3
2015-05-21,30.7,0.0,22.4,52,1005.4
2015-05-22,32.3,0.0,21.2,35,1005.0
2015-05-23,33.4,0.0,22.7,31,1004.3
2015-05-24,33.7,0.0,29.0,39,1004.1
2015-05-25,33.7,0.0,29.0,45,1004.5
2015-05-26,33.8,0.0,24.1,44,1005.3
2015-05-27,34.3,0.0,39.6,38,1005.0
2015-05-28,32.8,0.0,37.4,47,1002.9
2015-05-29,32.3,0.0,14.5,50,1003.4
2015-05-30,34.8,0.0,22.0,36,1005.6
2015-05-31,35.2,0.0,23.5,33,1005.1
2015-06-01,34.5,0.0,23.9,46,1002.2
2015-06-02,36.7,0.0,16.6,41,1002.0
2015-06-03,36.7,0.0,28.2,41,1000.6
2015-06-04,36.6,0.4,31.3,43,1000.0
2015-06-05,35.6,0.0,25.8,51,1003.5
2015-06-06,35.1,0.0,26.0,40,1003.9
2015-06-07,34.4,0.0,19.1,43,1001.6
2015-06-08,33.4,0.0,20.2,60,999.9
2015-06-09,35.9,0.0,17.2,46,999.1
2015-06-10,35.9,0.0,24.2,47,998.2
2015-06-11,35.1,0.0,29.1,52,998.7
2015-06-12,35.1,0.0,27.0,52,999.4
2015-06-13,35.2,0.0,23.5,53,998.0
2015-06-14,34.4,0.0,24.7,56,997.7
2015-06-15,33.8,0.0,25.1,58,997.7
2015-06-16,33.5,0.0,20.8,63,996.9
2015-06-17,33.7,0.0,18.7,58,996.1
2015-06-18,34.3,0.0,18.8,62,996.8
2015-06-19,34.2,0.0,25.9,56,996.4
2015-06-20,34.7,0.0,23.1,54,995.1
2015-06-21,34.3,0.0,23.4,57,995.0
2015-06-22,34.7,0.0,23.0,58,995.0
2015-06-23,33.8,0.0,27.3,55,996.2
2015-06-24,33.9,0.0,35.6,50,998.0
2015-06-25,34.0,0.0,34.6,46,997.6
2015-06-26,34.9,0.0,30.9,41,997.7
2015-06-27,34.9,0.0,35.0,35,999.2
2015-06-28,34.3,0.0,36.4,42,1001.1
2015-06-29,32.7,0.0,27.7,53,1002.3
2015-06-30,32.1,0.0,18.7,62,1001.1
2015-07-01,33.9,0.0,22.2,55,1000.4
2015-07-02,34.6,0.0,20.7,53,1000.9
2015-07-03,35.4,0.0,28.9,51,1000.8
2015-07-04,36.5,0.0,31.5,32,1000.3
2015-07-05,35.7,0.0,29.6,39,999.1
2015-07-06,33.7,0.0,16.6,60,996.7
2015-07-07,33.6,0.0,19.9,64,994.4
2015-07-08,35.2,0.0,16.3,53,995.4
2015-07-09,37.6,0.0,20.3,44,997.9
2015-07-10,35.1,0.0,24.3,55,996.7
2015-07-11,34.1,0.0,24.6,49,994.9
2015-07-12,36.7,0.0,30.1,34,995.7
2015-07-13,37.2,0.4,29.6,43,997.3
2015-07-14,36.7,0.4,17.4,48,998.5
2015-07-15,36.5,0.0,24.0,49,997.3
2015-07-16,34.6,0.0,25.6,56,995.0
2015-07-17,35.0,0.0,14.3,57,992.8
2015-07-18,36.1,0.0,19.4,55,993.0
2015-07-19,35.0,0.0,25.0,61,994.8
2015-07-20,35.1,0.0,22.9,42,995.3
2015-07-21,36.3,0.0,17.8,34,996.3
2015-07-22,36.1,0.0,22.8,52,997.6
2015-07-23,35.7,0.0,28.1,55,997.2
2015-07-24,37.0,0.0,30.1,42,997.8
2015-07-25,36.9,0.0,20.5,48,997.9
2015-07-26,37.9,0.0,24.0,46,995.9
2015-07-27,38.7,0.2,15.6,37,996.2
2015-07-28,38.0,0.0,26.6,39,997.0
2015-07-29,37.6,0.0,25.0,38,996.7
2015-07-30,36.8,0.0,20.3,40,997.6
2015-07-31,37.8,0.0,27.6,32,997.5
2015-08-01,37.0,0.0,31.0,37,999.3
2015-08-02,37.6,0.0,24.8,35,1000.3
2015-08-03,37.4,0.0,24.6,36,1000.5
2015-08-04,36.7,0.0,23.8,41,1000.4
2015-08-05,36.2,0.0,21.9,47,999.2
2015-08-06,35.2,0.0,23.1,51,998.1
2015-08-07,36.1,0.0,26.2,51,998.8
2015-08-08,36.9,0.0,21.5,46,1000.0
2015-08-09,36.0,0.0,29.1,55,998.5
2015-08-10,37.3,0.0,18.1,38,996.7
2015-08-11,38.8,0.0,25.7,27,999.0
2015-08-12,36.9,0.0,20.2,38,1000.2
2015-08-13,36.6,0.0,21.0,39,1000.2
2015-08-14,35.9,0.0,19.9,44,999.8
2015-08-15,36.4,0.0,26.8,44,999.7
2015-08-16,36.4,0.0,19.5,47,1001.1
2015-08-17,35.5,0.0,22.6,50,1000.3
2015-08-18,35.3,0.0,25.3,49,1000.6
2015-08-19,36.1,0.0,26.8,47,1002.4
2015-08-20,35.8,0.0,31.3,44,1002.0
2015-08-21,36.2,0.0,31.7,43,1000.8
2015-08-22,36.6,0.0,29.9,39,1000.2
2015-08-23,36.5,0.0,27.9,38,999.7
2015-08-24,36.8,0.0,32.1,38,1000.4
2015-08-25,36.6,0.0,33.1,36,1000.7
2015-08-26,35.5,0.0,28.5,44,1000.7
2015-08-27,34.8,0.0,18.9,50,1000.5
2015-08-28,35.3,0.0,21.6,54,1000.4
2015-08-29,37.3,0.0,21.1,46,1000.9
2015-08-30,38.0,0.0,20.1,41,1001.2
2015-08-31,37.0,0.0,17.7,44,1001.8
2015-09-01,35.5,0.0,24.9,57,1001.2
2015-09-02,34.0,0.0,19.1,69,1000.3
2015-09-03,34.4,0.0,17.3,55,1000.9
2015-09-04,33.3,1.7,38.6,61,1005.1
2015-09-05,33.4,0.0,19.8,57,1008.2
2015-09-06,33.8,0.0,23.3,55,1007.9
2015-09-07,33.9,0.0,22.4,59,1006.1
2015-09-08,33.6,0.0,20.5,55,1005.7
2015-09-09,33.0,1.4,23.8,59,1006.4
2015-09-10,33.6,0.0,18.2,50,1007.3
2015-09-11,34.3,0.0,18.7,50,1006.9
2015-09-12,33.1,1.2,15.3,58,1006.2
2015-09-13,33.7,0.2,19.1,57,1007.2
2015-09-14,33.4,0.0,22.2,58,1006.6
2015-09-15,32.5,0.0,22.5,68,1004.5
2015-09-16,31.9,0.0,17.4,71,1003.5
2015-09-17,32.8,0.0,21.1,64,1003.3
2015-09-18,33.1,0.0,20.4,62,1004.5
2015-09-19,33.4,0.0,25.0,65,1004.4
2015-09-20,35.0,0.0,21.2,39,1003.4
2015-09-21,33.9,0.0,24.5,27,1003.2
2015-09-22,33.0,0.0,23.4,24,1004.8
2015-09-23,31.0,0.0,20.5,42,1006.7
2015-09-24,30.5,0.0,20.7,61,1006.2
2015-09-25,31.1,0.0,19.6,67,1005.4
2015-09-26,31.3,0.0,24.3,69,1006.3
2015-09-27,30.7,0.0,21.5,70,1007.5
2015-09-28,30.5,0.0,19.3,69,1007.3
2015-09-29,32.7,0.0,22.1,53,1007.8
2015-09-30,32.3,0.0,22.5,46,1011.8
2015-10-01,31.1,0.0,18.4,52,1014.0
2015-10-02,31.0,0.0,22.5,69,1013.1
2015-10-03,31.7,0.0,17.6,77,1011.0
2015-10-04,31.8,0.0,22.8,71,1009.4
2015-10-05,31.5,0.0,20.8,69,1008.0
2015-10-06,32.1,0.0,23.2,60,1007.4
2015-10-07,32.7,0.0,23.3,44,1008.6
2015-10-08,31.8,0.0,22.7,55,1009.4
2015-10-09,29.9,0.0,19.9,65,1007.7
